Source,Target,Type,Id,year
142,154,Undirected,501,2012
142,237,Undirected,502,2012
144,172,Undirected,503,1992
144,267,Undirected,504,1992
145,149,Undirected,505,1987
145,181,Undirected,506,1987
145,190,Undirected,507,1987
145,205,Undirected,508,1987
145,209,Undirected,509,1987
145,224,Undirected,510,1987
145,235,Undirected,511,1987
145,251,Undirected,512,1987
145,269,Undirected,513,1987
145,275,Undirected,514,1987
145,278,Undirected,515,1987
145,285,Undirected,516,1987
146,169,Undirected,517,2009
146,189,Undirected,518,2009
147,157,Undirected,519,1996
148,248,Undirected,520,2007
148,272,Undirected,521,2007
149,224,Undirected,522,1987
149,285,Undirected,523,1987
150,176,Undirected,524,2007
150,220,Undirected,525,2007
150,236,Undirected,526,2007
152,156,Undirected,527,1994
153,224,Undirected,528,1988
154,160,Undirected,529,2012
154,194,Undirected,530,2012
154,208,Undirected,531,2012
154,237,Undirected,532,2012
154,242,Undirected,533,2012
154,250,Undirected,534,2012
154,262,Undirected,535,2012
155,156,Undirected,536,1994
156,162,Undirected,537,1994
156,171,Undirected,538,1994
156,185,Undirected,539,1994
156,207,Undirected,540,1994
156,211,Undirected,541,1994
156,215,Undirected,542,1994
156,218,Undirected,543,1994
156,230,Undirected,544,1994
156,234,Undirected,545,1994
156,241,Undirected,546,1994
156,252,Undirected,547,1994
156,263,Undirected,548,1994
156,283,Undirected,549,1994
156,287,Undirected,550,1994
158,237,Undirected,551,2012
159,177,Undirected,552,2008
159,186,Undirected,553,2008
159,192,Undirected,554,2008
159,204,Undirected,555,2008
159,259,Undirected,556,2008
159,266,Undirected,557,2008
159,273,Undirected,558,2008
160,169,Undirected,559,2009
160,189,Undirected,560,2009
160,237,Undirected,561,2012
161,170,Undirected,562,2018
163,225,Undirected,563,2002
164,182,Undirected,564,2018
164,247,Undirected,565,2018
166,202,Undirected,566,2010
166,265,Undirected,567,2010
167,174,Undirected,568,2015
168,188,Undirected,569,2008
168,210,Undirected,570,2008
168,264,Undirected,571,2008
169,189,Undirected,572,2009
