Authors	Record Count	% of 1,870
Sapiezynski P	2	0.107
Scala A	2	0.107
Scheitle CP	2	0.107
Schneider CM	2	0.107
Schneider JA	2	0.107
Schulz J	2	0.107
Schwadel P	2	0.107
Schweitzer F	2	0.107
Sepulvado B	2	0.107
Settle JE	2	0.107
Sguera C	2	0.107
Shea CT	2	0.107
Sheldon BC	2	0.107
Shen HW	2	0.107
Shults FL	2	0.107
Sindermann C	2	0.107
Smith D	2	0.107
Smith-lovin L	2	0.107
Spierings N	2	0.107
Starnini M	2	0.107
Stern MJ	2	0.107
Stivala AD	2	0.107
Su XF	2	0.107
Sun JC	2	0.107
Sun Y	2	0.107
Scatà M	2	0.107
Ságvári B	2	0.107
Tagarelli A	2	0.107
Takes FW	2	0.107
Tampubolon G	2	0.107
Tan J	2	0.107
Tan YJ	2	0.107
Tang J	2	0.107
Tang WM	2	0.107
Tarnita CE	2	0.107
Tasselli S	2	0.107
Tassiulas L	2	0.107
Thomas MG	2	0.107
Thomas RJ	2	0.107
Thurner S	2	0.107
Tokita CK	2	0.107
Toole JL	2	0.107
Torres-albero C	2	0.107
Tsai CL	2	0.107
Tucker JA	2	0.107
Tulin M	2	0.107
Torló VJ	2	0.107
Törnberg P	2	0.107
Török J	2	0.107
Ueno K	2	0.107
Ugander J	2	0.107
Urbina C	2	0.107
Umaña-taylor AJ	2	0.107
Van Bavel JJ	2	0.107
Van Der Linden S	2	0.107
Van Hentenryck P	2	0.107
Van Tubergen F	2	0.107
Vasconcelos VV	2	0.107
Vattay G	2	0.107
Veenstra R	2	0.107
Velema TA	2	0.107
Verdery AM	2	0.107
Vespignani A	2	0.107
Vicsek T	2	0.107
Vidal G	2	0.107
Volkova S	2	0.107
Wang D	2	0.107
Wang G	2	0.107
Wang HQ	2	0.107
Wang JY	2	0.107
Wang Q	2	0.107
Wang WG	2	0.107
Wang WQ	2	0.107
Wang X	2	0.107
Wang XF	2	0.107
Wang XY	2	0.107
Watkins-fassler K	2	0.107
Weare C	2	0.107
Webster NJ	2	0.107
Welser HT	2	0.107
Weng CS	2	0.107
Whitmeyer JM	2	0.107
Widdop P	2	0.107
Willer R	2	0.107
Williams M	2	0.107
Wimmer A	2	0.107
Wit EC	2	0.107
Wittek M	2	0.107
Wittek R	2	0.107
Wood A	2	0.107
Wu B	2	0.107
Wu JJ	2	0.107
Xia HX	2	0.107
Xie WJ	2	0.107
Xu C	2	0.107
Xu XK	2	0.107
Xu ZZ	2	0.107
Xun Y	2	0.107
Yan HY	2	0.107
Yang AM	2	0.107
Yang J	2	0.107
Yang LT	2	0.107
Yang S	2	0.107
Yang WY	2	0.107
Yang Z	2	0.107
Yap J	2	0.107
Ye XY	2	0.107
Yilmaz L	2	0.107
Yin FL	2	0.107
Yin J	2	0.107
Yokomatsu M	2	0.107
Yon GGV	2	0.107
Youm Y	2	0.107
Young HP	2	0.107
Young JG	2	0.107
Young JTN	2	0.107
Yuan YY	2	0.107
Zeggelink E	2	0.107
Zeng A	2	0.107
Zeppini P	2	0.107
Zhang Q	2	0.107
Zhang R	2	0.107
Zhang XH	2	0.107
Zhang XX	2	0.107
Zhang ZF	2	0.107
Zhang ZK	2	0.107
Zhao K	2	0.107
Zhao Q	2	0.107
Zhao QC	2	0.107
Zheng ZM	2	0.107
Zhou B	2	0.107
Zhou CQ	2	0.107
Zhou M	2	0.107
Zhou T	2	0.107
Zhou WX	2	0.107
Zhou ZK	2	0.107
Ziberna A	2	0.107
Zignani M	2	0.107
Znidarsic A	2	0.107
Zubcsek PP	2	0.107
Abadie R	1	0.053
Abbas R	1	0.053
Abbasi A	1	0.053
Abdo AH	1	0.053
Abe MS	1	0.053
Abebe BG	1	0.053
Abell J	1	0.053
Abelson J	1	0.053
Abendroth AK	1	0.053
Abernathy JZ	1	0.053
Abu Saleh M	1	0.053
Abufouda M	1	0.053
Acconcia G	1	0.053
Acedo A	1	0.053
Acevedo MA	1	0.053
Acharjee A	1	0.053
Acharjee S	1	0.053
Achdut N	1	0.053
Acock AC	1	0.053
Acquisti A	1	0.053
Acton R	1	0.053
Adam S	1	0.053
Adamczyk A	1	0.053
Ademun R	1	0.053
Adhikari B	1	0.053
Adil H	1	0.053
Aeby G	1	0.053
Afshar M	1	0.053
Agarwal A	1	0.053
Agarwal N	1	0.053
Aggarwal K	1	0.053
Agrawal AK	1	0.053
Ahmed A	1	0.053
Ahn ME	1	0.053
Ahnert SE	1	0.053
Ai C	1	0.053
Ajrouch KJ	1	0.053
Akaeda N	1	0.053
Akbas E	1	0.053
Akpinar E	1	0.053
Aktas ME	1	0.053
Al Mamun A	1	0.053
Al-atwi AA	1	0.053
Al-dhelaan A	1	0.053
Al-rawi A	1	0.053
Al-rodhaan M	1	0.053
Al-shami SA	1	0.053
Alam A	1	0.053
Alam MGR	1	0.053
Alassad M	1	0.053
Alatas B	1	0.053
Albert F	1	0.053
Alberts D	1	0.053
Albizua A	1	0.053
Albro SL	1	0.053
Alderson DL	1	0.053
Aldhous P	1	0.053
Aldosery A	1	0.053
Alecu AI	1	0.053
Aledavood T	1	0.053
Aleman D	1	0.053
Alfano M	1	0.053
Alfaro-shigueto J	1	0.053
Alfonso A	1	0.053
Algesheimer R	1	0.053
Alhabash S	1	0.053
Alhajri A	1	0.053
Ali A	1	0.053
Ali R	1	0.053
Alipourfard N	1	0.053
Aljably R	1	0.053
Alkhamees BF	1	0.053
Allan BF	1	0.053
Allansdottir A	1	0.053
Allard A	1	0.053
Allen B	1	0.053
Allen C	1	0.053
Allen JC	1	0.053
Allender S	1	0.053
Allf B	1	0.053
Allred CR	1	0.053
Almaatouq A	1	0.053
Almeida RPP	1	0.053
Almeida V	1	0.053
Alodjants AP	1	0.053
Aloric A	1	0.053
Alrhmoun A	1	0.053
Alsmadi I	1	0.053
Alston-stepnitz E	1	0.053
Alstott J	1	0.053
Alsuwaidan L	1	0.053
Altafini C	1	0.053
Altanlar A	1	0.053
Altenburger KM	1	0.053
Altissimo A	1	0.053
Alvarez R	1	0.053
Alvarez-galvez J	1	0.053
Alvarez-meaza I	1	0.053
Amariucai G	1	0.053
Amarteifio S	1	0.053
Amati V	1	0.053
Amato MS	1	0.053
Amir S	1	0.053
Amis JM	1	0.053
Amoozegar JB	1	0.053
An JS	1	0.053
An WH	1	0.053
Anamalamudi S	1	0.053
Anderson EG	1	0.053
Anderson PB	1	0.053
Andrade JS	1	0.053
Andrade Js JR	1	0.053
Andrews K	1	0.053
Andriano AM	1	0.053
Anduiza E	1	0.053
Anistratenko VV	1	0.053
Annagiri S	1	0.053
Anonymous	1	0.053
Antenore M	1	0.053
Antino M	1	0.053
Antony B	1	0.053
Aoki T	1	0.053
Apicella CL	1	0.053
Apollonio N	1	0.053
Appel L	1	0.053
Appiah O	1	0.053
Arbon JJ	1	0.053
Arcas F	1	0.053
Arechar AA	1	0.053
Arena G	1	0.053
Arenas A	1	0.053
Arendt D	1	0.053
Arentze TA	1	0.053
Argyle LP	1	0.053
Arias-ramos N	1	0.053
Arias-rodriguez L	1	0.053
Arie Y	1	0.053
Arieli I	1	0.053
Arlidge WNS	1	0.053
Armitage N	1	0.053
Arnaboldi V	1	0.053
Arnott G	1	0.053
Arora A	1	0.053
Arroyo KJ	1	0.053
Arroyo-flores J	1	0.053
Artieri GB	1	0.053
Artime O	1	0.053
Artoni A	1	0.053
Arvidsson M	1	0.053
Asadpour M	1	0.053
Asatani K	1	0.053
Asgari M	1	0.053
Ashenafi G	1	0.053
Ashford JR	1	0.053
Ashworth MJ	1	0.053
Asikainen A	1	0.053
Aslam A	1	0.053
Aslett K	1	0.053
Aspinall E	1	0.053
Assmann C	1	0.053
Aste T	1	0.053
Asur S	1	0.053
Atalay E	1	0.053
Ataman MB	1	0.053
Atienza J	1	0.053
Au A	1	0.053
Auchincloss AH	1	0.053
Audy R	1	0.053
Ausloos M	1	0.053
Aven B	1	0.053
Avery L	1	0.053
Avvenuti M	1	0.053
Awad E	1	0.053
Awan F	1	0.053
Awuah-offei K	1	0.053
Axhausen KW	1	0.053
Ayalon L	1	0.053
Ayalon O	1	0.053
Ayers JW	1	0.053
Ayoub O	1	0.053
Aziz F	1	0.053
Aznar MN	1	0.053
Azuma T	1	0.053
Aktan EÖA	1	0.053
Alonso-muñoz L	1	0.053
Ba CT	1	0.053
Babcock M	1	0.053
Babichenko Y	1	0.053
Babis D	1	0.053
Baerveldt C	1	0.053
Baggio J	1	0.053
Baggio S	1	0.053
Baggish A	1	0.053
Bagheri A	1	0.053
Bagherzadeh M	1	0.053
Bagozzi BE	1	0.053
Bai PX	1	0.053
Bail CA	1	0.053
Bailey M	1	0.053
Baird R	1	0.053
Bajpai S	1	0.053
Bak-coleman J	1	0.053
Baker MA	1	0.053
Baker WE	1	0.053
Bakker DM	1	0.053
Bakner NW	1	0.053
Balakrishnan M	1	0.053
Balasubramaniam KN	1	0.053
Baldwin C	1	0.053
Ballakrishnen S	1	0.053
Ballato L	1	0.053
Ballester C	1	0.053
Baltar F	1	0.053
Banducci S	1	0.053
Banks GC	1	0.053
Bansal S	1	0.053
Baptista D	1	0.053
Bar-yam Y	1	0.053
Barankai N	1	0.053
Barber MJ	1	0.053
Barbera P	1	0.053
Barbosa RLC	1	0.053
Barfuss W	1	0.053
Barkoczi D	1	0.053
Barmeyer C	1	0.053
Barnes JC	1	0.053
Barnes L	1	0.053
Barnes M	1	0.053
Barney JB	1	0.053
Baron SW	1	0.053
Baronchelli A	1	0.053
Barr AM	1	0.053
Barr T	1	0.053
Barrington C	1	0.053
Barrio RA	1	0.053
Bartelt E	1	0.053
Bartenhagen C	1	0.053
Barwick C	1	0.053
Barzilai S	1	0.053
Bashir U	1	0.053
Basol M	1	0.053
Basov N	1	0.053
Bassett DS	1	0.053
Bastomski S	1	0.053
Bastos FI	1	0.053
Batool K	1	0.053
Batorski D	1	0.053
Battiston F	1	0.053
Baturay MH	1	0.053
Bauermeister J	1	0.053
Bauldry S	1	0.053
Baum S	1	0.053
Bauman KE	1	0.053
Baumann F	1	0.053
Bausch M	1	0.053
Bayer J	1	0.053
Bayer JB	1	0.053
Baym NK	1	0.053
Bayuma TB	1	0.053
Bazhenov AY	1	0.053
Bazrafshani A	1	0.053
Bazzi M	1	0.053
Bearman PS	1	0.053
Beaver KM	1	0.053
Bechmann A	1	0.053
Beck PA	1	0.053
Beckage N	1	0.053
Beckage NM	1	0.053
Becker OA	1	0.053
Becker P	1	0.053
Beckfield J	1	0.053
Beckman RJ	1	0.053
Beggs JJ	1	0.053
Beghini F	1	0.053
Begun S	1	0.053
Bell W	1	0.053
Bellamy S	1	0.053
Bellutta D	1	0.053
Belyi A	1	0.053
Ben Gibson C	1	0.053
Ben Rhila S	1	0.053
Bendtsen KM	1	0.053
Benedict BC	1	0.053
Bener AB	1	0.053
Bengtsson L	1	0.053
Benjamini Y	1	0.053
Bennett EM	1	0.053
Bennion J	1	0.053
Benton RA	1	0.053
Berdahl AM	1	0.053
Berenhaut KS	1	0.053
Berger-wolf TY	1	0.053
Berglas NF	1	0.053
Bergstrand K	1	0.053
Bergstrom ML	1	0.053
Berinsky AJ	1	0.053
Bernabe-ortiz A	1	0.053
Bernard HR	1	0.053
Bernardi L	1	0.053
Bernasco W	1	0.053
Bernburg JG	1	0.053
Bernstein E	1	0.053
Berrou JP	1	0.053
Berry G	1	0.053
Bertazzoli A	1	0.053
Bertella MA	1	0.053
Berten H	1	0.053
Berthold F	1	0.053
Bertogg A	1	0.053
Bertoni N	1	0.053
Bessi A	1	0.053
Betsch C	1	0.053
Bettaney EM	1	0.053
Beyerlein K	1	0.053
Bezerianos A	1	0.053
Bhamidi S	1	0.053
Bhole M	1	0.053
Bi JC	1	0.053
Bi KX	1	0.053
Bian J	1	0.053
Bianconi G	1	0.053
Bierbach D	1	0.053
Biesmeijer JC	1	0.053
Bilecen B	1	0.053
Bill A	1	0.053
Bisanzio D	1	0.053
Bjerre-nielsen A	1	0.053
Blachnio A	1	0.053
Black D	1	0.053
Black L	1	0.053
Blasiola S	1	0.053
Bleakley BH	1	0.053
Blex C	1	0.053
Blommaert L	1	0.053
Blonder B	1	0.053
Blumsack S	1	0.053
Board S	1	0.053
Boateng MK	1	0.053
Bobkowski PS	1	0.053
Bodaghi A	1	0.053
Boden L	1	0.053
Bodle R	1	0.053
Bodor-eranus E	1	0.053
Boekkooi M	1	0.053
Boero R	1	0.053
Boessen A	1	0.053
Boeving ER	1	0.053
Bogdanov N	1	0.053
Bohnert M	1	0.053
